Date,Rank,Category,Title,Author,Week on List,Description
2021-05-23,1,Children’s Middle Grade Hardcover,Uncomfortable Conversations With A Black Boy,Emmanuel Acho,1,A dialogue about systemic racism.
2021-05-23,2,Children’s Middle Grade Hardcover,Willa Of Dark Hollow,Robert Beatty,1,Willa must save the Great Smoky Mountains from loggers.
2021-05-23,3,Children’s Middle Grade Hardcover,Becoming: Adapted For Young Readers,Michelle Obama,10,A memoir of the former first lady.
2021-05-23,4,Children’s Middle Grade Hardcover,The One And Only Bob,Katherine Applegate. Illustrated by Patricia Castelao,53,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister."
2021-05-23,5,Children’s Middle Grade Hardcover,The Ickabog,J.K. Rowling,26,A fearsome monster threatens the kingdom of Cornucopia.
2021-05-23,1,Children’s Picture Books,The One And Only Sparkella,Channing Tatum. Illustrated by Kim Barnes,1,Ella embraces her individuality.
2021-05-23,2,Children’s Picture Books,I Love Mom With The Very Hungry Caterpillar,Eric Carle,12,That ravenous insect is brimming with motherly love.
2021-05-23,3,Children’s Picture Books,"Thank You, Teacher From The Very Hungry Caterpillar",Eric Carle,1,The insatiable insect's pedagogue appreciation.
2021-05-23,4,Children’s Picture Books,Eyes That Kiss In The Corners,Joanna Ho. Illustrated by Dung Ho,10,A tale of self-acceptance and respect for one’s roots.
2021-05-23,5,Children’s Picture Books,We Are Water Protectors,Carole Lindstrom. Illustrated by Michaela Goade,14,Standing up for environmental justice.
2021-05-23,1,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,9,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-05-23,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,634,The travails and challenges of adolescence.
2021-05-23,3,Children’s Series,Awesome Friendly Kid,Jeff Kinney,8,Rowley Jefferson chronicles his life story and adventures.
2021-05-23,4,Children’s Series,Wings Of Fire,Tui T. Sutherland,113,Only the five dragonets of destiny can unite the seven warring dragon tribes.
2021-05-23,5,Children’s Series,Harry Potter,J.K. Rowling,633,A wizard hones his conjuring skills in the service of fighting evil.
2021-05-23,1,Young Adult Hardcover,Realm Breaker,Victoria Aveyard,1,A small band of misfits attempt to save Allward.
2021-05-23,2,Young Adult Hardcover,Rule Of Wolves,Leigh Bardugo,6,The second book in the King of Scars duology.
2021-05-23,3,Young Adult Hardcover,Concrete Rose,Angie Thomas,17,Maverick Carter decides to leave the life of crime after he finds out he'll be a father.
2021-05-23,4,Young Adult Hardcover,Firekeeper'S Daughter,Angeline Boulley,8,Daunis investigates a deadly new drug being distributed in her tribal community.
2021-05-23,5,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,171,"For five students, a detour into detention ends in murder."
2021-05-16,1,Combined Print & E-Book Fiction,Sooley,John Grisham,1,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-05-16,2,Combined Print & E-Book Fiction,Finding Ashley,Danielle Steel,1,"Two estranged sisters, one a former best-selling author, the other a nun, reconnect as one searches for the child the other gave up."
2021-05-16,3,Combined Print & E-Book Fiction,A Gambling Man,David Baldacci,2,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town."
2021-05-16,4,Combined Print & E-Book Fiction,Fugitive Telemetry,Martha Wells,1,"The sixth book in the Murderbot Diaries series. When a dead body turns up on Preservation Station, Murderbot must speak to humans."
2021-05-16,5,Combined Print & E-Book Fiction,The Hill We Climb,Amanda Gorman,5,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem."
2021-05-16,1,Combined Print & E-Book Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,1,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-05-16,2,Combined Print & E-Book Nonfiction,The Bomber Mafia,Malcolm Gladwell,1,A look at the key players and outcomes of precision bombing during World War II.
2021-05-16,3,Combined Print & E-Book Nonfiction,You Are Your Best Thing,ted by Tarana Burke and Brené Brown,1,An anthology of writing on the Black experience and shame resilience.
2021-05-16,4,Combined Print & E-Book Nonfiction,How Y'All Doing?,Leslie Jordan,1,A collection of essays by the Emmy-winning actor who became a viral sensation without knowing what that phrase meant at the time.
2021-05-16,5,Combined Print & E-Book Nonfiction,The Body Keeps The Score,Bessel van der Kolk,36,"How trauma affects the body and mind, and innovative treatments for recovery."
